epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3413,0.52956,2.66795,1.06573,0.47634,0.65759,0.61377,0.5521,0.45923,1.49596,1.03205,0.000301577,0.000301577,0.000301577
2,58.9501,0.51737,1.77908,1.04013,0.68169,0.65567,0.73265,0.59524,0.67629,1.35477,1.2549,0.000592607,0.000592607,0.000592607
3,85.5078,0.51854,1.56378,1.03502,0.72596,0.62733,0.71305,0.58358,0.6547,1.29583,1.21655,0.000871637,0.000871637,0.000871637
4,112.673,0.51199,1.40733,1.03148,0.7859,0.71163,0.80442,0.70798,0.53025,0.98569,1.10412,0.000855005,0.000855005,0.000855005
5,142.577,0.49833,1.28598,1.02222,0.79564,0.73497,0.81905,0.72282,0.5047,0.96569,1.10158,0.000837007,0.000837007,0.000837007
6,172.079,0.48687,1.23608,1.01698,0.77628,0.73576,0.81093,0.73273,0.46208,0.93993,1.0481,0.000819009,0.000819009,0.000819009
7,202.491,0.4514,1.10729,0.99957,0.8375,0.77927,0.85003,0.76466,0.45995,0.83115,1.04705,0.000801011,0.000801011,0.000801011
8,231.889,0.44721,1.06663,0.99371,0.77876,0.80278,0.84151,0.7757,0.42475,0.78296,1.01394,0.000783013,0.000783013,0.000783013
9,261.66,0.42409,1.00232,0.97817,0.73673,0.78242,0.83533,0.76105,0.43718,0.85697,1.03057,0.000765014,0.000765014,0.000765014
10,291.974,0.41999,0.99118,0.97683,0.78089,0.78228,0.85539,0.79877,0.39186,0.7972,0.98229,0.000747016,0.000747016,0.000747016
11,323.134,0.40771,0.93257,0.97021,0.85701,0.78105,0.86454,0.79665,0.3956,0.70711,0.98854,0.000729018,0.000729018,0.000729018
12,354.097,0.40084,0.8865,0.96904,0.84962,0.77813,0.86688,0.81587,0.38909,0.75334,0.99153,0.00071102,0.00071102,0.00071102
13,385.247,0.39282,0.8908,0.96555,0.78626,0.79297,0.85347,0.79481,0.38184,0.7433,0.98645,0.000693022,0.000693022,0.000693022
14,416.657,0.3908,0.85329,0.96575,0.87293,0.81338,0.88724,0.82718,0.37032,0.65369,0.97268,0.000675023,0.000675023,0.000675023
15,448.342,0.36321,0.7927,0.94636,0.83992,0.84604,0.88581,0.83331,0.35338,0.63215,0.95463,0.000657025,0.000657025,0.000657025
16,481.343,0.364,0.80344,0.95234,0.90275,0.77161,0.87955,0.81748,0.36456,0.6114,0.95786,0.000639027,0.000639027,0.000639027
17,517.015,0.36964,0.78882,0.94865,0.83622,0.82639,0.88234,0.83377,0.34372,0.62081,0.93876,0.000621029,0.000621029,0.000621029
18,552.33,0.35639,0.74633,0.94333,0.84416,0.82408,0.88005,0.83285,0.34643,0.6136,0.94074,0.000603031,0.000603031,0.000603031
19,590.195,0.35086,0.72728,0.94204,0.88141,0.81075,0.88849,0.84224,0.33445,0.59564,0.92629,0.000585032,0.000585032,0.000585032
20,627.467,0.35017,0.71777,0.94267,0.84623,0.84048,0.89411,0.84719,0.34405,0.59534,0.94215,0.000567034,0.000567034,0.000567034
21,664.976,0.34008,0.68724,0.93817,0.85847,0.82097,0.87469,0.82302,0.33823,0.63727,0.92851,0.000549036,0.000549036,0.000549036
22,705.524,0.33217,0.67844,0.9355,0.86938,0.78933,0.88236,0.83459,0.33134,0.64458,0.92912,0.000531038,0.000531038,0.000531038
23,745.575,0.33869,0.66744,0.93569,0.82491,0.82585,0.88625,0.84132,0.31813,0.59709,0.91533,0.00051304,0.00051304,0.00051304
24,785.031,0.32371,0.64534,0.92256,0.85666,0.83625,0.88789,0.85095,0.30434,0.5695,0.91781,0.000495041,0.000495041,0.000495041
